ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave2,wave3,wave4,wave5,wave6,wave7
81615,7,437.7530934364428,2.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,1.3333333333333333,1.0,4.0,1.25,2.3333333333333335,2.6,4.0,0,0,0,0,0,1
81616,7,395.3728390358963,2.8,0.0,1.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,2.8,2.75,0,0,0,0,0,1
81621,7,395.3728390358963,3.2,0.0,1.0,4.8,2.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,2.8,2.75,0,0,0,0,0,1
81622,7,437.7530934364428,3.4,0.0,0.0,7.0,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,3.0,3.0,3.0,3.0,3.75,0,0,0,0,0,1
81623,7,342.13991475183207,2.6,0.0,1.0,6.0,4.0,4.0,3.0,3.0,3.6666666666666665,1.0,3.25,1.75,2.3333333333333335,2.8,3.0,0,0,0,0,0,1
81625,7,437.7530934364428,2.6,0.0,0.0,9.5,5.0,4.0,3.0,3.0,3.0,1.0,3.25,1.0,2.6666666666666665,2.6,2.25,0,0,0,0,0,1
81626,7,395.3728390358963,3.0,0.0,1.0,3.0,4.0,2.0,2.0,3.0,1.5,1.0,3.0,2.0,3.0,2.8,3.0,0,0,0,0,0,1
81627,7,395.3728390358963,3.0,0.0,1.0,4.8,2.0,2.0,3.0,3.0,2.6666666666666665,1.0,1.75,1.0,3.0,2.8,2.25,0,0,0,0,0,1
81628,7,437.7530934364428,2.0,0.0,0.0,7.0,2.0,2.0,4.0,3.0,0.0,0.0,2.25,1.5,2.0,3.2,2.0,0,0,0,0,0,1
81630,7,395.3728390358963,3.2,0.0,1.0,5.0,2.0,2.0,3.0,4.0,1.5,1.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0,0,1
81631,7,395.3728390358963,3.0,0.0,1.0,6.0,4.0,2.0,3.0,3.0,0.0,1.0,3.75,1.75,3.0,3.0,3.25,0,0,0,0,0,1
81705,7,453.38713248774445,3.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,1.3333333333333333,1.0,3.5,1.5,2.3333333333333335,3.6,3.25,0,0,0,0,0,1
81709,7,453.38713248774445,4.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,3.5,2.0,3.3333333333333335,3.2,3.75,0,0,0,0,0,1
81710,7,453.38713248774445,4.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,2.0,0.0,3.25,1.0,4.0,3.4,3.75,0,0,0,0,0,1
81711,7,453.38713248774445,5.0,0.0,0.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,3.5,1.75,3.6666666666666665,3.0,3.5,0,0,0,0,0,1
81712,7,409.493297572893,4.75,0.0,1.0,5.0,5.0,4.0,4.0,4.0,2.6666666666666665,1.0,3.5,1.5,4.0,3.4,3.75,0,0,0,0,0,1
81714,7,369.3267707583997,3.6,0.0,1.0,4.5,4.0,2.0,3.0,4.0,2.6666666666666665,1.0,3.0,2.0,3.0,3.4,4.0,0,0,0,0,0,1
81716,7,375.3216240896536,3.6,0.0,0.0,5.5,2.0,3.0,3.0,3.0,0.6666666666666666,1.0,3.5,1.75,3.0,2.8,3.0,0,0,0,0,0,1
81717,7,409.493297572893,4.8,0.0,1.0,8.1,2.0,2.0,3.0,4.0,2.444444444444444,1.0,3.5,1.5,3.3333333333333335,3.0,3.25,0,0,0,0,0,1
81718,7,357.3441284062965,3.4,0.0,0.0,5.0,4.0,4.0,3.0,4.0,1.111111111111111,1.0,3.0,1.0,2.6666666666666665,3.2,3.25,0,0,0,0,0,1
81719,7,409.493297572893,4.6,0.0,1.0,3.0,4.0,2.0,3.0,4.0,3.333333333333333,1.0,3.75,1.5,3.6666666666666665,3.2,3.25,0,0,0,0,0,1
81720,7,453.38713248774445,3.6,0.0,0.0,7.8,4.0,4.0,3.0,4.0,1.0,1.0,2.75,2.75,2.0,3.0,2.0,0,0,0,0,0,1
81721,7,453.38713248774445,4.25,0.0,0.0,5.0,2.0,2.0,3.0,4.0,2.5,1.0,3.25,1.75,3.6666666666666665,3.0,3.5,0,0,0,0,0,1
81722,7,453.38713248774445,3.5,0.0,0.0,6.0,4.0,4.0,3.0,3.0,1.3333333333333333,1.0,3.5,1.25,2.6666666666666665,3.4,4.0,0,0,0,0,0,1
81723,7,453.38713248774445,3.2,0.0,0.0,13.5,2.0,4.0,4.0,3.0,1.3333333333333333,1.0,3.25,1.5,3.0,3.2,3.25,0,0,0,0,0,1
81724,7,409.493297572893,2.4,0.0,1.0,6.0,5.0,5.0,2.0,4.0,1.3333333333333333,1.0,3.5,1.5,3.0,3.8,3.25,0,0,0,0,0,1
81725,7,423.3714603821951,2.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,1.5,2.3333333333333335,2.8,3.25,0,0,0,0,0,1
81726,7,409.493297572893,3.25,0.0,1.0,4.5,3.0,2.0,3.0,4.0,2.0,1.0,3.0,1.5,2.6666666666666665,2.8,2.5,0,0,0,0,0,1
81728,7,409.493297572893,4.4,0.0,1.0,2.2,3.0,3.0,3.0,4.0,2.833333333333333,1.0,3.5,1.5,3.6666666666666665,3.0,3.25,0,0,0,0,0,1
81731,7,453.38713248774445,3.25,0.0,0.0,5.0,4.0,4.0,3.0,3.0,2.333333333333333,1.0,3.75,1.75,3.3333333333333335,2.8,3.75,0,0,0,0,0,1
81801,7,396.7137409267775,3.6,0.0,0.0,13.0,5.0,4.0,3.0,4.0,1.6666666666666665,1.0,3.5,1.75,2.6666666666666665,2.4,2.75,0,0,0,0,0,1
81804,7,358.30663537628124,3.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,2.6666666666666665,1.0,2.5,2.75,2.3333333333333335,2.6,2.5,0,0,0,0,0,1
81805,7,396.7137409267775,3.4,0.0,0.0,2.0,4.0,2.0,3.0,4.0,1.3333333333333333,1.0,2.5,2.0,2.3333333333333335,2.4,2.75,0,0,0,0,0,1
81806,7,358.30663537628124,3.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,3.5,2.25,3.6666666666666665,2.8,3.25,0,0,0,0,0,1
81807,7,346.10361278015546,2.25,0.0,0.0,4.5,4.0,4.0,3.0,4.0,3.333333333333333,1.0,2.5,2.0,2.6666666666666665,2.6,2.75,0,0,0,0,0,1
81808,7,396.7137409267775,3.6,0.0,0.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,2.5,1.5,2.3333333333333335,2.6,3.25,0,0,0,0,0,1
81809,7,396.7137409267775,2.6,0.0,0.0,4.0,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,2.5,1.75,2.3333333333333335,2.2,2.5,0,0,0,0,0,1
81810,7,358.30663537628124,3.2,0.0,1.0,5.0,4.0,4.0,3.0,3.0,2.6666666666666665,0.0,3.25,1.5,3.3333333333333335,3.0,3.25,0,0,0,0,0,1
81811,7,346.10361278015546,3.75,0.0,0.0,3.0,3.0,5.0,3.0,4.0,2.333333333333333,1.0,3.5,1.75,3.3333333333333335,3.0,3.5,0,0,0,0,0,1
81812,7,358.30663537628124,2.6,0.0,1.0,12.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,2.5,3.0,2.8,2.5,0,0,0,0,0,1
81814,7,358.30663537628124,1.6,0.0,1.0,5.0,2.0,2.0,3.0,4.0,1.3333333333333333,1.0,3.25,2.25,2.3333333333333335,2.8,2.5,0,0,0,0,0,1
81815,7,396.7137409267775,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0,0,1
81817,7,396.7137409267775,4.8,0.0,0.0,8.5,4.0,4.0,3.0,3.0,2.6666666666666665,1.0,3.5,1.75,3.3333333333333335,3.2,3.5,0,0,0,0,0,1
81818,7,358.30663537628124,3.4,0.0,1.0,9.0,4.0,4.0,3.0,2.0,3.9999999999999996,1.0,3.5,2.0,3.0,2.8,3.5,0,0,0,0,0,1
81819,7,396.7137409267775,4.0,0.0,0.0,6.5,4.0,4.0,3.0,4.0,2.333333333333333,1.0,3.25,1.5,3.3333333333333335,2.8,3.5,0,0,0,0,0,1
81820,7,358.30663537628124,4.0,0.0,1.0,4.6,4.0,4.0,2.0,3.0,4.333333333333333,1.0,3.75,1.25,3.3333333333333335,3.0,4.0,0,0,0,0,0,1
81821,7,396.7137409267775,3.6,0.0,0.0,7.0,5.0,4.0,3.0,3.0,2.6666666666666665,0.0,2.75,1.5,2.6666666666666665,2.4,3.5,0,0,0,0,0,1
81822,7,358.30663537628124,4.0,0.0,1.0,8.0,4.0,2.0,3.0,3.0,3.333333333333333,1.0,3.0,1.75,2.3333333333333335,2.8,3.25,0,0,0,0,0,1
81823,7,396.7137409267775,2.8,0.0,0.0,4.0,4.0,4.0,3.0,2.0,2.6666666666666665,1.0,3.25,2.5,2.6666666666666665,2.6,2.5,0,0,0,0,0,1
81824,7,358.30663537628124,3.8,0.0,1.0,7.5,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,3.0,1.5,2.3333333333333335,2.8,3.5,0,0,0,0,0,1
81827,7,323.1609244135996,1.4,0.0,1.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,3.25,1.75,2.0,2.4,3.0,0,0,0,0,0,1
81828,7,358.30663537628124,3.6,0.0,1.0,6.0,4.0,4.0,3.0,4.0,2.6666666666666665,0.0,3.5,1.5,3.0,3.0,3.5,0,0,0,0,0,1
