"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","자산","이사여부","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2021,010000162,1150.97946244378,G1,2,1,G1,G2,G2,G2,G2,2,1,G1,1,T,4,74,G5,2,G2,3,2,G2,G1,G1,G2,Q1,D02,G2,Q2,D04,Q3,D05,15740,2,15740,740,740,500,240,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15740,1718,960,0,4,634,120,754,1617,560,240,60,0,130,10,20,100,661,101,1,0,0,100,0,1,3,4,3,2,,,2,2,,,,,,,,,,,,1,75,150,200,3,,,
2021,010000182,1123.68235811657,G1,1,2,G2,G2,G2,G2,G2,4,1,G3,2,C,5,59,G4,1,G1,2,2,G2,G2,G1,G2,Q2,D04,G2,Q2,D04,Q2,D04,13680,2,13630,3630,3630,3630,0,0,0,10000,50,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13680,2977,2776,0,80,121,0,121,2744,3198,1400,350,0,1140,60,60,188,3431,233,43,190,0,0,0,1,1,2,3,1,1,5,,2,,,,,,,,,,,,1,65,300,400,4,,,
2021,010000192,1052.42734596533,G1,2,1,G2,G2,G2,G2,G2,4,1,G3,1,R,2,28,G1,1,G1,1,3,G3,G1,G1,G1,Q1,D01,G1,Q1,D01,Q1,D01,1520,2,1520,520,520,520,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,0,0,400,0,0,0,0,400,0,0,0,0,400,0,0,0,0,0,0,310,300,10,1120,971,31,726,3,91,120,211,878,1371,240,786,0,5,48,32,260,1464,93,62,21,0,0,10,1,1,4,4,2,,,2,2,,3,,2,,,2,,1,2,2,1,65,150,250,4,,,
2021,010000212,844.751427692373,G2,1,2,G1,G2,G2,G2,G2,4,4,G2,2,,,72,G5,7,G4,2,1,G1,G1,G1,G1,Q2,D04,G3,Q2,D04,Q3,D05,16982,2,10982,10982,10982,10550,432,0,0,0,6000,6000,6000,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,16682,3101,157,0,515,2349,80,2429,2992,1226,780,120,0,30,18,48,230,1335,109,19,0,30,60,0,1,1,2,2,2,,,3,2,,,,,,,,,,,,2,,,,,68,3,2
2021,010000222,994.288412152197,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,C,9,53,G4,1,G1,1,1,G1,G2,G3,G1,Q2,D04,G3,Q1,D02,Q1,D01,6410,2,1410,1410,1410,300,1110,0,0,0,5000,5000,5000,0,0,0,0,0,0,0,6500,6500,3000,0,0,0,3000,0,0,0,3000,0,0,0,0,3000,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,2120,1500,620,-90,3066,2984,0,37,45,0,45,2137,2610,500,120,0,1350,120,90,430,3539,929,10,257,30,12,620,3,5,1,4,1,2,2,,1,,1,1,2,,,3,,2,,2,1,70,150,250,3,,,
2021,010000262,1007.1105793204,G2,2,2,G1,G2,G2,G2,G2,4,1,G3,2,,,67,G5,7,G4,2,1,G1,G3,G2,G2,Q2,D03,G2,Q4,D08,Q5,D09,66800,2,1350,1350,1350,1100,0,250,0,0,65450,65000,47000,18000,0,450,0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66800,2896,0,0,270,1546,1080,2626,2414,1436,450,370,0,100,120,96,300,1918,482,82,0,100,300,0,1,1,1,2,1,5,4,,2,,,,,,,,,,,,2,,,,,65,3,2
2021,010000272,1393.02277438983,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,O,3,57,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D10,G6,Q4,D07,Q4,D07,40660,2,8810,8810,8810,3600,5210,0,0,0,31850,29000,29000,0,0,2850,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40660,12416,11868,341,87,120,0,120,9085,5200,1200,400,200,1100,700,400,1200,8531,3331,1392,389,1500,50,0,4,2,2,2,2,,,1,2,,,,,,,,,,,,1,61,300,400,3,,,
2021,010000282,1753.88711110979,G2,1,5,G2,G2,G2,G2,G2,2,1,G1,2,C,8,60,G5,4,G3,2,1,G1,G2,G2,G1,Q4,D07,G4,Q5,D10,Q4,D08,124500,2,500,500,500,500,0,0,0,0,124000,119000,29000,90000,0,5000,3000,2000,2000,0,76160,76160,72000,0,0,0,0,72000,0,0,0,72000,0,0,0,72000,0,0,0,0,0,72000,0,0,72000,0,700,0,0,0,0,0,700,0,700,0,0,0,0,0,0,0,0,700,0,700,0,2960,500,0,0,2908,740,2168,48340,6574,2476,2273,20,305,1500,1805,3022,3260,1200,240,0,150,280,300,1090,6812,3552,323,965,81,15,2168,1,1,2,4,2,,,2,1,,2,,2,,,3,,1,3,1,1,65,150,180,4,,,
2021,010000312,2698.37180239116,G1,1,5,G2,G2,G2,G2,G2,6,1,G4,2,J,2,51,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D09,G6,Q5,D09,Q5,D09,95425,2,16425,16425,16425,4600,11825,0,0,0,79000,78000,55000,23000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95425,11106,10436,0,423,247,0,247,9994,5030,1250,350,1860,120,490,310,650,6142,1112,352,760,0,0,0,2,5,1,3,1,2,2,,2,,,,,,,,,,,,1,58,200,300,2,,,
2021,010000322,1887.81991465471,G1,1,3,G2,G2,G2,G2,G2,5,1,G4,2,P,3,36,G2,1,G1,1,1,G1,G1,G1,G1,Q3,D06,G3,Q1,D02,Q1,D02,5580,2,580,580,580,10,570,0,0,0,5000,5000,5000,0,0,0,0,0,0,0,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,1900,0,0,1900,0,0,0,0,0,1900,0,0,1900,0,400,0,0,0,0,289,235,54,3280,4860,4660,0,7,193,0,193,4453,4070,1200,200,0,1800,50,650,170,4477,407,43,310,0,0,54,2,2,1,2,1,1,1,,3,9,3,,1,3,2,2,,1,2,1,1,70,300,500,4,,,
