"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","보완_등록장애인유무_가구구분코드","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","이사여부","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2023,114200132,985.542853241,G1,1,2,G1,G2,G2,G2,G2,2,1,G1,2,,,77,G5,7,G4,2,1,G1,G2,G3,G2,Q3,D05,G4,Q3,D05,Q3,D05,2,22050,3050,3050,3050,1050,0,2000,0,0,19000,19000,18000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22050,5140,3230,144,162,1544,60,1604,4863,4054,600,350,0,2264,50,100,690,4331,277,40,47,190,0,0,1,1,2,2,2,,,3,2,,,,,,,,,,,,2,,0,0,,76,4,2
2023,114200142,1051.391871563,G1,1,2,G2,G2,G2,G2,G1,4,1,G3,2,H,8,80,G5,4,G3,2,1,G1,G1,G1,G2,Q2,D04,G3,Q3,D06,Q4,D07,2,34150,900,900,900,900,0,0,0,0,33250,25000,25000,0,0,8250,250,8000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34150,4048,0,2408,76,1504,60,1564,3731,1843,900,237,0,170,36,90,410,2160,317,31,186,100,0,0,1,1,3,3,1,2,2,,2,,,,,,,,,,,,1,82,200,300,3,,,
2023,114200182,1485.999340727,G1,1,2,G2,G2,G2,G2,G2,6,4,G3,2,R,4,51,G4,1,G1,4,3,G3,G2,G1,G2,Q2,D04,G3,Q1,D01,Q1,D01,2,1230,1230,230,230,230,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,200,17,1230,3718,2900,0,39,719,60,779,3633,2704,628,1724,0,32,98,142,80,2789,85,13,35,10,10,17,2,1,2,3,1,1,1,,2,,,,,,,,,,,,1,65,200,250,4,,,
2023,114200202,1284.048877311,G2,1,1,G2,G2,G2,G2,G1,6,1,G4,1,,,64,G5,7,G4,1,3,G3,G2,G1,G2,Q1,D01,G1,Q1,D01,Q1,D01,2,1025,1025,25,25,25,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,997,0,0,0,997,0,997,997,637,115,180,0,5,10,24,303,637,0,0,0,0,0,0,1,1,2,2,2,,,3,3,9,,,,,,,,,,,2,,0,0,,59,3,4
2023,114200302,1076.84702993,G1,2,1,G2,G2,G2,G2,G2,6,1,G4,1,,,29,G1,7,G4,1,3,G3,G2,G3,G1,Q1,D01,G2,Q2,D04,Q2,D03,2,16223,16223,5223,5223,2390,2808,25,0,11000,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,0,0,10000,0,0,0,0,10000,0,0,0,0,10000,0,0,0,0,0,0,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,228,6223,1048,0,2,526,160,360,520,469,928,180,323,0,11,121,46,247,1507,579,4,147,200,0,228,1,1,2,3,1,2,2,,3,4,1,1,2,,,1,30,,,1,1,70,200,300,4,,,
2023,114200312,2314.464004121,G1,2,1,G2,G2,G2,G2,G2,4,1,G3,1,,,60,G5,7,G4,4,5,G4,G2,G2,G1,Q1,D01,G2,Q1,D01,Q1,D01,2,480,480,480,480,200,280,0,0,0,0,0,0,0,0,0,0,0,0,0,260,260,260,0,0,0,0,0,0,260,0,0,0,260,0,260,0,0,0,0,0,0,260,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,220,1281,0,0,21,0,1260,1260,1215,956,320,240,0,168,12,96,120,1022,66,1,45,10,0,10,1,3,2,1,2,,,1,1,,2,,2,,,1,10,,,1,2,,0,0,,57,3,1
2023,114200322,2525.600410746,G1,1,3,G2,G2,G2,G2,G2,5,1,G4,2,C,8,61,G5,1,G1,2,1,G1,G2,G2,G1,Q4,D08,G5,Q4,D08,Q4,D08,2,64616,12976,12976,12976,2100,1076,9800,0,0,51640,48000,48000,0,0,3640,2900,740,740,0,16000,16000,16000,16000,0,0,0,0,0,0,16000,0,0,0,0,0,0,16000,0,0,16000,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,1188,444,48616,8582,6896,0,42,1644,0,1644,7106,5300,1600,324,0,50,324,228,2774,6776,1476,231,501,300,0,444,3,1,2,2,1,6,2,,1,,1,1,2,,,1,25,,,1,1,70,250,350,4,,,
2023,114200342,1529.081307528,G1,1,2,G2,G2,G2,G2,G2,4,1,G3,2,A,6,62,G5,1,G1,2,1,G1,G4,G1,G1,Q3,D06,G4,Q5,D10,Q5,D10,2,135490,19740,19740,18740,2490,16250,0,1000,0,115750,100000,100000,0,0,15750,450,15300,15300,0,8000,4500,4500,4500,0,0,0,0,0,0,4500,0,0,0,0,4500,0,0,0,0,4500,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3810,3500,310,127490,6074,2304,3500,65,205,0,205,5321,3459,1453,215,0,515,310,138,828,4212,753,247,75,121,0,310,1,1,1,2,2,,,1,1,,1,1,2,,,1,30,,,1,1,70,200,250,4,,,
2023,114200362,2321.506644236,G1,2,2,G2,G2,G2,G2,G2,6,1,G4,2,,,62,G5,7,G4,4,1,G1,G2,G2,G2,Q4,D08,G5,Q4,D07,Q4,D08,2,49725,19250,19250,19250,19250,0,0,0,0,30475,30000,30000,0,0,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49725,8420,4000,0,1740,2680,0,2680,7911,2361,800,380,0,210,150,180,641,2870,509,43,282,100,84,0,1,1,2,2,2,,,5,2,,,,,,,,,,,,2,,0,0,,62,2,2
2023,114300122,1325.058274925,G1,1,2,G2,G2,G2,G2,G2,6,1,G4,2,G,5,60,G5,1,G1,2,1,G1,G2,G2,G2,Q5,D10,G6,Q5,D10,Q5,D10,2,121500,14500,14500,14500,13000,1500,0,0,0,107000,105000,105000,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121500,26873,24000,0,2873,0,0,0,13406,3572,942,623,0,325,302,121,1259,17039,13467,4454,7413,1200,400,0,1,4,2,1,2,,,1,2,,,,,,,,,,,,1,65,500,800,2,,,
