"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","자산","이사여부","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2022,890200322,124.964507776,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,H,5,23,G1,1,G1,1,2,G2,G2,G1,G2,Q1,D01,G2,Q2,D03,Q2,D04,12050,2,12050,50,50,50,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12050,1088,1061,1,1,25,0,25,814,2690,600,120,0,10,200,140,1620,2964,274,1,173,100,0,0,2,3,1,4,1,1,2,,2,,,,,,,,,,,,1,70,400,500,5,,,
2022,890200332,214.59157515,G2,2,1,G1,G2,G2,G2,G2,3,1,G2,1,,,82,G5,7,G4,3,1,G1,G4,G1,G2,Q2,D03,G2,Q2,D04,Q2,D04,15600,2,600,600,600,600,0,0,0,0,15000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,2457,0,0,1582,845,30,875,2438,1785,1200,200,0,250,100,15,20,1804,19,6,13,0,0,0,2,1,2,4,1,2,1,,2,,,,,,,,,,,,2,,0,0,,39,3,2
2022,890200362,288.814567609,G2,1,2,G1,G2,G2,G2,G2,6,1,G4,2,A,6,67,G5,4,G3,2,1,G1,G3,G1,G2,Q4,D07,G4,Q5,D10,Q5,D10,131800,2,24700,24700,24700,24500,0,200,0,0,107100,105100,60000,45100,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131800,6685,0,700,1340,4545,100,4645,5287,2370,600,696,0,120,365,168,421,3768,1398,312,486,400,200,0,1,3,1,2,2,,,2,2,,,,,,,,,,,,1,75,200,350,2,,,
2022,890200382,438.290858767,G2,1,4,G2,G2,G2,G2,G2,6,1,G4,2,J,7,55,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D10,G6,Q4,D08,Q5,D09,79100,2,3000,3000,3000,3000,0,0,0,0,76100,75000,75000,0,0,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79100,22443,21303,0,115,25,1000,1025,18259,3909,1200,264,1000,600,240,155,450,8093,4184,2562,1372,150,100,0,2,1,2,3,1,5,5,,2,,,,,,,,,,,,1,70,200,250,3,,,
2022,890200392,287.044687225,G2,2,1,G1,G2,G2,G2,G2,1,,G1,1,A,9,78,G5,2,G2,3,1,G1,G3,G2,G2,Q1,D01,G2,Q2,D04,Q2,D04,16500,2,500,500,500,500,0,0,0,0,16000,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500,1011,420,0,49,192,350,542,920,724,360,122,0,120,20,12,90,815,91,11,0,80,0,0,1,1,2,4,2,,,4,2,,,,,,,,,,,,1,82,100,150,4,,,
2022,890800301,408.928767818,G2,1,2,G1,G2,G2,G2,G2,3,1,G2,2,A,6,76,G5,4,G3,2,1,G1,G2,G1,G2,Q2,D03,G2,Q4,D07,Q4,D07,47914,2,5814,5814,5814,5800,14,0,0,0,42100,42000,12000,30000,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47914,2894,0,1500,273,1001,120,1121,2833,1855,600,146,0,225,10,84,790,1916,61,11,0,50,0,0,2,1,2,2,1,3,5,,2,,,,,,,,,,,,1,80,100,150,3,,,
2022,890800311,1531.848995632,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,I,4,39,G2,3,G3,1,2,G2,G2,G1,G2,Q3,D05,G3,Q1,D02,Q2,D03,5499,2,4499,3999,3999,3000,999,0,0,500,1000,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5499,4410,0,3600,10,800,0,800,3964,1202,432,300,0,60,240,60,110,1648,446,26,320,100,0,0,2,1,1,3,1,1,1,,3,7,,,,,,,,,,,1,70,100,120,5,,,
2022,890800321,432.70640466,G2,1,2,G2,G2,G2,G2,G2,4,1,G3,2,F,7,61,G5,3,G3,2,1,G1,G2,G3,G2,Q4,D07,G4,Q5,D10,Q5,D10,141010,2,30080,30080,30080,26000,2280,1800,0,0,110930,110000,15000,95000,0,930,230,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141010,6762,0,5800,412,150,400,550,5364,3230,1500,360,0,50,550,200,570,4628,1398,391,371,600,36,0,5,1,2,2,1,3,1,,2,,,,,,,,,,,,1,75,300,400,2,,,
2022,890800331,401.651090026,G2,2,2,G1,G2,G2,G2,G1,5,4,G3,2,K,5,65,G5,6,G3,2,1,G1,G2,G2,G1,Q2,D04,G3,Q3,D06,Q3,D06,33267,2,10667,10667,10667,645,10022,0,0,0,22600,21000,21000,0,0,1600,1600,0,0,0,5900,5900,5900,5900,0,0,0,0,0,0,5900,0,0,0,0,0,0,5900,0,0,5900,0,0,0,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,200,270,27367,3215,41,2000,42,932,200,1132,2473,1952,600,200,250,300,192,60,350,2694,742,87,250,135,0,270,1,2,2,3,2,,,5,1,,1,1,2,,,1,10,,,1,1,66,200,260,2,,,
2022,890800341,731.572375795,G2,1,5,G2,G2,G2,G2,G2,5,4,G3,2,H,8,45,G3,4,G3,2,3,G3,G2,G2,G2,Q3,D06,G4,Q2,D04,Q3,D05,18431,2,10791,9991,9191,4775,4416,0,800,800,7640,5000,0,5000,0,2640,1440,1200,200,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,18431,5452,0,4800,152,500,0,500,4946,5290,1500,1100,720,280,790,400,500,5796,506,108,198,200,0,0,2,1,2,2,1,1,1,,2,,,,,,,,,,,,1,65,250,350,3,,,
