"조사연도","MD제공용_가구고유번호","조사부문코드","가중값","가중값(금융부문)","가중값(복지부문)","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주종사상지위코드(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","과거기준입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드","소득5분위코드(금융부문)","소득5분위코드(복지부문)","소득10분위코드","소득계층구간코드(보도용)","자산총액5분위코드","자산총액5분위코드(금융부문)","자산총액5분위코드(복지부문)","자산총액10분위코드","순자산5분위코드","순자산5분위코드(금융부문)","순자산5분위코드(복지부문)","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(조사)","조사_경상소득_근로소득","조사_경상소득_사업소득","조사_경상소득_재산소득","조사_경상소득_공적이전소득","조사_경상소득_사적이전소득","조사_경상소득_이전소득","처분가능소득(조사)[경상소득-비소비지출]","지출(조사)[비소비지출(조사)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","조사_지출_비소비지출","조사_지출_비소비지출_세금","조사_지출_비소비지출_공적연금사회보험료","조사_지출_비소비지출_가구사이이전지출비","조사_지출_비소비지출_비영리단체이전지출비","조사_지출_비소비지출_연간지급이자","지출_소비지출비","지출_소비지출_외식비포함식료품비","지출_소비지출_주거비","지출_소비지출_보육료포함교육비","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_경조비및기타소비지출비","지출_소비지출_경조비","지출_소비지출_기타소비지출비","분배6차_균등화처분가능소득(조사)","여유자금운용계획코드","금융자산투자주목적코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","부채상환방법코드","1년전대비부채증감코드","원리금연체여부","원리금연체사유코드","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)","1년후소득변화코드(2011~2016년)","1년후지출변화코드(2012~2016년)"
2014,010200251,P,984.496681477871,,1945.39575236707,G2,2,3,G2,G2,G2,G2,G2,3,1,G2,2,I,4,62,G5,3,G3,2,5,G4,G4,G2,G2,G1,Q5,,Q5,D09,G5,Q5,,Q5,D10,Q5,,Q5,D10,89837,5637,5637,637,205,432,0,5000,0,84200,73000,0,73000,0,11200,1000,10200,3200,7000,10000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,10000,5000,5000,0,79837,7000,0,7000,0,0,0,0,6514,2446,486,86,360,0,40,0,1960,600,240,100,80,240,120,580,120,460,3822,,,,,,,,,,,,,,,,,,,,,1,75,150,180,1,0,,,3,2
2014,010200261,P,1008.30584686876,,1992.44348186927,G2,1,2,G1,G2,G2,G2,G1,4,1,G3,2,P,8,75,G5,2,G2,2,1,G1,G1,G2,G1,G1,Q1,,Q1,D02,G2,Q2,,Q2,D03,Q2,,Q2,D03,8035,35,35,35,35,0,0,0,0,8000,8000,8000,0,0,0,0,0,0,0,3200,3200,3200,0,0,0,0,0,0,3200,,,,,,0,0,0,0,0,3200,0,0,0,3200,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,168,0,168,4835,1320,1100,0,0,220,0,220,1141,999,179,11,0,0,0,168,820,360,120,0,30,20,40,250,150,100,933,,,,,,,,,,,,,,,,,,,,,1,80,60,100,4,0,,,2,2
2014,010200271,P,973.129713678507,,1922.93432658104,G2,1,1,G1,G2,G2,G2,G1,4,1,G3,1,,,67,G5,7,G4,3,3,G3,G2,G1,G1,G2,Q1,,Q1,D01,G1,Q1,,Q1,D02,Q1,,Q1,D02,3550,3550,50,50,50,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,3550,716,0,0,0,716,0,716,715,684,1,1,0,0,0,0,683,360,250,0,12,15,22,24,0,24,716,,,,,,,,,,,,,,,,,,,,,2,,,,,54,4,4,2,2
2014,010200281,P,1028.9388211724,,2033.21484418263,G2,1,2,G2,G2,G2,G2,G1,4,1,G3,2,I,4,61,G5,3,G3,2,1,G1,G1,G2,G2,G1,Q3,,Q3,D06,G3,Q3,,Q3,D06,Q3,,Q3,D06,25430,5060,5060,2060,260,1800,0,3000,0,20370,15000,15000,0,0,5370,70,5300,3300,2000,4500,4500,4500,4500,0,0,0,0,0,0,,,,,,0,0,0,0,0,4500,0,0,0,4500,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,330,30,300,20930,4176,0,3600,0,576,0,576,3573,3127,603,77,216,0,10,300,2524,1200,204,0,60,360,360,340,100,240,2772,,,,,,,,,,,,,,,,,,,,,1,65,150,250,3,0,,,1,1
2014,010200311,P,1456.84179061848,,2899.65991238418,G1,2,1,G1,G2,G2,G2,G2,2,3,G1,1,N,9,69,G5,2,G2,3,1,G1,G1,G2,G2,G2,Q2,,Q2,D03,G2,Q2,,Q2,D04,Q3,,Q3,D05,13096,596,596,596,596,0,0,0,0,12500,12500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,13096,1560,600,0,0,360,600,960,1418,864,142,42,0,0,100,0,722,240,192,0,160,24,0,106,100,6,1560,,,,,,,,,,,,,,,,,,,,,1,80,50,100,3,0,,,1,2
2014,010200321,P,2209.37106330942,,4397.47460979176,G1,1,1,G2,G2,G2,G2,G2,5,1,G4,1,J,2,29,G1,1,G1,1,3,G3,G3,G1,G3,G2,Q3,,Q3,D05,G3,Q2,,Q2,D03,Q2,,Q2,D03,5500,5500,5000,5000,5000,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,5500,3625,3500,0,125,0,0,0,2442,3139,1183,91,242,750,100,0,1956,600,576,0,350,180,120,130,30,100,3293,,,,,,,,,,,,,,,,,,,,,1,60,150,200,5,0,,,3,2
2014,010200331,P,2189.18251826293,,4357.29199260045,G1,2,3,G2,G2,G2,G2,G2,4,1,G3,2,Q,2,38,G2,1,G1,1,1,G1,G1,G1,G3,G1,Q2,,Q2,D03,G2,Q2,,Q2,D04,Q2,,Q2,D03,10080,20,20,20,20,0,0,0,0,10060,10000,10000,0,0,60,60,0,0,0,4800,4800,4800,0,0,0,0,0,0,4800,,,,,,0,0,0,0,0,4800,0,0,0,4800,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,240,0,240,5280,1927,1800,0,0,127,0,127,1512,1585,415,28,147,0,0,240,1170,480,200,0,120,150,100,120,0,120,1028,,,,,,,,,,,,,,,,,,,,,1,60,100,100,5,0,,,2,2
2014,010200351,P,2097.0472512924,,4173.90820352057,G1,1,3,G2,G2,G2,G2,G2,4,1,G3,2,C,8,37,G2,1,G1,2,2,G2,G2,G1,G1,G2,Q4,,Q4,D07,G3,Q2,,Q2,D03,Q2,,Q2,D03,6470,6430,1930,1930,130,1800,0,0,4500,40,0,0,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,6470,4800,4800,0,0,0,0,0,4285,1695,515,102,383,0,30,0,1180,360,180,360,50,60,100,70,30,40,2492,,,,,,,,,,,,,,,,,,,,,1,74,150,200,4,0,,,2,2
2014,010200371,P,1721.94406481659,,3427.31274446544,G1,1,4,G2,G2,G2,G2,G2,5,1,G4,2,G,5,51,G4,4,G3,2,1,G1,G1,G2,G2,G1,Q5,,Q5,D10,G6,Q4,,Q4,D08,Q4,,Q5,D08,43869,8209,8209,8209,850,7359,0,0,0,35660,35000,20500,14500,0,660,660,0,0,0,4134,4134,4100,0,0,0,0,4000,0,100,,,,,,0,0,0,0,0,0,4000,100,0,4000,100,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,34,0,0,332,305,27,39735,10300,0,10300,0,0,0,0,9024,6876,1276,461,668,0,120,27,5600,1200,300,2000,60,1200,360,480,120,360,4626,,,,,,,,,,,,,,,,,,,,,1,70,200,300,4,0,,,2,3
2014,010200381,P,1281.6456630457,,2550.95410180426,G1,1,1,G1,G2,G2,G2,G1,3,3,G1,1,,,77,G5,7,G4,4,3,G3,G3,G1,G1,G2,Q1,,Q1,D01,G1,Q1,,Q1,D02,Q1,,Q1,D02,2010,2010,10,10,10,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,2010,564,0,0,0,534,30,564,564,314,0,0,0,0,0,0,314,90,96,0,30,20,48,30,10,20,564,,,,,,,,,,,,,,,,,,,,,2,,,,,60,4,2,2,2
2014,010201101,P,1721.90201839038,,3421.8767250784,G1,1,4,G2,G2,G2,G2,G2,6,1,G4,2,G,3,53,G4,3,G3,2,1,G1,G1,G4,G2,G1,Q4,,Q5,D08,G5,Q5,,Q5,D09,Q5,,Q5,D09,57021,8721,8721,8221,3661,4560,0,500,0,48300,45000,45000,0,0,3300,3100,200,200,0,11000,11000,10000,0,0,0,0,10000,0,0,,,,,,0,0,0,0,0,10000,0,0,0,10000,0,1000,0,0,0,0,0,0,1000,,,,,,0,0,0,0,0,,,0,0,0,0,4520,4000,520,46021,7000,0,7000,0,0,0,0,4029,8301,2971,1714,737,0,0,520,5330,1800,480,1200,20,1000,30,800,500,300,2382,,,,,,,,,,,,,,,,,,,,,1,70,300,300,5,0,,,2,3
