"조사연도","MD제공용_가구고유번호","조사부문코드","가중값","가중값(금융부문)","가중값(복지부문)","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주종사상지위코드(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","과거기준입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드","소득5분위코드(금융부문)","소득5분위코드(복지부문)","소득10분위코드","소득계층구간코드(보도용)","자산총액5분위코드","자산총액5분위코드(금융부문)","자산총액5분위코드(복지부문)","자산총액10분위코드","순자산5분위코드","순자산5분위코드(금융부문)","순자산5분위코드(복지부문)","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(조사)","조사_경상소득_근로소득","조사_경상소득_사업소득","조사_경상소득_재산소득","조사_경상소득_공적이전소득","조사_경상소득_사적이전소득","조사_경상소득_이전소득","처분가능소득(조사)[경상소득-비소비지출]","지출(조사)[비소비지출(조사)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","조사_지출_비소비지출","조사_지출_비소비지출_세금","조사_지출_비소비지출_공적연금사회보험료","조사_지출_비소비지출_가구사이이전지출비","조사_지출_비소비지출_비영리단체이전지출비","조사_지출_비소비지출_연간지급이자","지출_소비지출비","지출_소비지출_외식비포함식료품비","지출_소비지출_주거비","지출_소비지출_보육료포함교육비","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_경조비및기타소비지출비","지출_소비지출_경조비","지출_소비지출_기타소비지출비","분배6차_균등화처분가능소득(조사)","여유자금운용계획코드","금융자산투자주목적코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","부채상환방법코드","1년전대비부채증감코드","원리금연체여부","원리금연체사유코드","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)","1년후소득변화코드(2011~2016년)","1년후지출변화코드(2012~2016년)"
2014,010200111,F,1393.33090104165,2804.6203615426,,G1,1,4,G2,G2,G2,G2,G2,4,1,G3,2,C,7,47,G3,4,G3,2,2,G2,G2,G2,G3,G1,Q4,Q4,,D08,G4,Q4,Q4,,D08,Q4,Q4,,D07,40690,29180,11180,9180,2580,6600,0,2000,18000,11510,8000,0,8000,0,3510,2810,700,700,0,15000,12000,12000,0,0,12000,0,0,0,0,12000,0,0,0,0,12000,0,0,0,0,0,0,0,12000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,540,0,540,25690,6600,3600,3000,0,0,0,0,4356,2244,2244,906,598,150,50,540,0,0,0,0,0,0,0,0,0,0,2701,3,5,1,2,2,1,5,4,,2,,,2,2,,2,,1,3,1,,,,,,,,,,
2014,010200121,F,1644.39307006543,3309.98071314374,,G1,1,4,G2,G2,G2,G2,G2,6,1,G4,2,R,7,43,G3,1,G1,1,1,G1,G1,G4,G1,G1,Q3,Q3,,D05,G3,Q5,Q5,,D10,Q5,Q5,,D09,106180,3730,3730,3730,3730,0,0,0,0,102450,102000,102000,0,0,450,150,300,300,0,45050,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,45000,120,120,0,61130,3600,3600,0,0,0,0,0,2095,1505,1505,641,764,0,100,0,0,0,0,0,0,0,0,0,0,0,1238,1,3,1,1,2,1,2,4,,2,,,3,2,,1,20,,,1,,,,,,,,,,
2014,010200151,P,1607.35060468833,,3194.23254853164,G1,2,3,G2,G2,G2,G2,G2,6,1,G4,2,P,2,51,G4,1,G1,2,3,G3,G2,G3,G2,G1,Q5,,Q5,D10,G6,Q5,,Q5,D10,Q5,,Q5,D10,119650,74650,44650,40650,21290,8820,10540,4000,30000,45000,41000,0,36000,5000,4000,3800,200,200,0,23000,5000,5000,0,5000,0,0,0,0,0,,,,,,0,0,0,0,0,0,5000,0,0,5000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,18000,840,480,360,96650,18000,18000,0,0,0,0,0,14999,6001,3001,1321,930,240,150,360,3000,600,480,0,300,480,480,660,100,560,9163,,,,,,,,,,,,,,,,,,,,,1,70,200,300,3,0,,,3,2
2014,010200161,P,1463.67549141082,,2913.26171902609,G1,1,4,G2,G2,G2,G2,G2,5,1,G4,2,Q,3,44,G3,4,G3,2,2,G2,G2,G2,G2,G1,Q5,,Q5,D10,G6,Q5,,Q5,D09,Q5,,Q5,D09,63109,38239,17239,9239,680,4559,4000,8000,21000,24870,14000,0,14000,0,10870,700,10170,170,10000,5500,5500,1500,0,0,0,0,1500,0,0,,,,,,0,0,0,0,0,0,1500,0,0,1500,0,4000,0,0,0,0,0,4000,0,,,,,,0,0,0,0,0,,,0,0,0,0,378,0,378,57609,18000,0,18000,0,0,0,0,16975,5233,1025,37,334,240,36,378,4208,1440,480,948,30,300,340,670,480,190,8833,,,,,,,,,,,,,,,,,,,,,1,70,150,150,3,0,,,3,3
2014,010200171,P,1528.69336299528,,3037.91981844769,G1,1,2,G2,G2,G2,G2,G2,6,1,G4,2,K,2,34,G2,1,G1,2,1,G1,G1,G2,G2,G1,Q5,,Q5,D09,G5,Q4,,Q4,D08,Q4,,Q4,D07,44423,1423,1423,1423,1300,123,0,0,0,43000,40000,40000,0,0,3000,0,3000,3000,0,22000,22000,22000,22000,0,0,0,0,0,0,,,,,,0,0,0,0,0,22000,0,0,0,22000,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,6390,5700,690,22423,8600,8600,0,0,0,0,0,6783,3687,1817,481,646,0,0,690,1870,550,100,0,200,480,120,420,120,300,5341,,,,,,,,,,,,,,,,,,,,,1,60,250,350,3,0,,,3,3
2014,010200191,P,1046.21896950357,,2079.11482695201,G1,2,1,G1,G2,G2,G2,G2,1,,G1,1,,,78,G5,7,G4,3,2,G2,G2,G1,G1,G2,Q1,,Q1,D01,G1,Q2,,Q2,D03,Q2,,Q2,D03,6450,6450,1450,1450,1450,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,6450,514,200,0,0,114,200,314,513,541,1,1,0,0,0,0,540,240,80,0,150,15,15,40,30,10,514,,,,,,,,,,,,,,,,,,,,,1,90,50,50,4,0,,,2,2
2014,010200211,P,719.335871890976,,1421.42993194308,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,G,5,55,G4,4,G3,2,1,G1,G1,G2,G2,G1,Q5,,Q5,D10,G6,Q5,,Q5,D10,Q5,,Q5,D10,116460,24580,24580,20580,14600,5980,0,4000,0,91880,83000,18000,65000,0,8880,0,8880,3880,5000,26000,3000,3000,0,0,3000,0,0,0,0,,,,,,0,0,0,0,0,0,0,3000,0,0,3000,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,23000,0,0,0,90460,10350,0,4000,6350,0,0,0,9426,6004,924,264,540,0,120,0,5080,1000,800,1500,100,300,480,900,100,800,4834,,,,,,,,,,,,,,,,,,,,,1,61,100,150,2,0,,,2,2
2014,010200221,P,1171.95579682183,,2315.82080127401,G2,2,1,G2,G2,G2,G2,G2,5,1,G4,1,S,4,38,G2,4,G3,1,5,G4,G4,G1,G1,G2,Q4,,Q4,D07,G3,Q1,,Q1,D02,Q2,,Q2,D03,3925,1625,1625,1125,300,825,0,500,0,2300,0,0,0,0,2300,100,2200,200,2000,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,3925,4800,0,4800,0,0,0,0,4508,1722,292,40,252,0,0,0,1430,600,60,0,10,240,60,460,100,360,4524,,,,,,,,,,,,,,,,,,,,,1,70,100,130,2,0,,,3,2
2014,010200231,P,1158.43147263582,,2289.09643603395,G2,2,2,G2,G2,G2,G2,G2,3,1,G2,2,,,67,G5,7,G4,3,4,G3,G3,G1,G1,G2,Q2,,Q2,D04,G2,Q1,,Q1,D01,Q1,,Q1,D02,1113,1063,1063,1063,250,813,0,0,0,50,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,1113,2333,1560,0,0,413,360,773,2194,979,139,3,135,0,1,0,840,120,588,0,6,24,54,48,0,48,1553,,,,,,,,,,,,,,,,,,,,,2,,,,,66,4,2,3,3
2014,010200241,P,1080.43010317693,,2134.96313521991,G2,1,5,G2,G2,G2,G2,G1,4,1,G3,2,C,7,52,G4,1,G1,2,1,G1,G1,G2,G2,G1,Q3,,Q3,D05,G3,Q3,,Q3,D05,Q3,,Q3,D05,19234,3904,3904,3904,220,3684,0,0,0,15330,15000,15000,0,0,330,330,0,0,0,8070,8070,4800,4800,0,0,0,0,0,0,,,,,,0,0,0,0,0,4800,0,0,0,4800,0,3200,0,0,0,0,0,500,2700,,,,,,0,0,0,0,0,,,0,70,0,0,1354,980,374,11164,3636,3600,0,0,36,0,36,2948,3858,688,63,241,0,10,374,3170,960,240,1100,20,420,240,190,10,180,1512,,,,,,,,,,,,,,,,,,,,,1,62,100,200,5,0,,,2,3
