"조사연도","MD제공용_가구고유번호","가중값","조사부문코드","수도권여부","가구주_성별코드","","가구원수","","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","과거기준입주형태통합코드","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","소득5분위코드(금융부문)(보완)","순자산10분위코드","소득5분위코드(복지부문)(보완)","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","","자산_금융자산_현거주지전월세보증금","","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","금융자산투자주목적코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2018,010204131,1809.02619239645,P,G1,1,,4,3673.13970953996,G2,G2,G2,G2,G2,6,1,G4,2,N,5,37,G2,1,G1,2,1,G1,G2,G2,G1,G1,Q3,D05,G3,Q3,D06,Q2,,D04,Q3,29845,2356,2356,2356,,1385,Q3,0,971,0,,0,Q2,27489,27000,27000,0,0,489,300,189,189,0,16810,16810,16000,16000,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,16000,0,0,0,16000,0,760,0,0,0,0,0,760,0,760,0,0,0,0,0,0,0,0,0,760,0,0,50,0,0,0,1672,1240,432,13035,4173,3940,16,2,215,0,215,3354,2644,950,240,360,120,300,144,530,3463,819,41,306,40,0,432,,,,,,,,,,,,,,,,,,,,,,1,65,240,300,5,,,
2018,010300121,656.931634085889,P,G1,2,,3,1334.25136766436,G2,G2,G2,G2,G2,7,1,G4,2,P,2,30,G2,1,G1,2,1,G1,G2,G2,G1,G1,Q4,D08,G5,Q3,D06,Q2,,D04,Q4,33555,205,205,205,,205,Q4,0,0,0,,0,Q2,33350,33000,33000,0,0,350,350,0,0,0,20340,20340,20000,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,20000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,180,0,180,13215,7537,6564,0,255,718,0,718,6323,1722,840,384,0,70,150,168,110,2936,1214,329,705,0,0,180,,,,,,,,,,,,,,,,,,,,,,1,63,200,350,3,,,
2018,010300351,1774.66768421305,F,G1,1,3531.75522236496,4,,G2,G2,G2,G2,G2,6,1,G4,2,J,2,38,G2,1,G1,2,2,G2,G3,G2,G2,G2,Q3,D05,G3,Q3,D05,Q3,Q3,D06,,24050,23050,3050,3050,Q3,3050,,0,0,0,Q3,20000,,1000,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24050,3846,3570,0,1,275,0,275,3518,0,0,0,0,0,0,0,0,328,328,54,274,0,0,0,1,1,2,2,2,,,1,2,,,,5,,,,,,,,,,,0,0,,,,
2018,010400111,1055.74341156828,P,G1,2,,2,2144.25218348284,G2,G2,G2,G2,G2,7,3,G4,2,P,2,34,G2,4,G3,2,2,G2,G1,G3,G1,G2,Q2,D03,G2,Q2,D04,Q2,,D03,Q2,16321,16321,1321,1321,,1321,Q2,0,0,0,,15000,Q2,0,0,0,0,0,0,0,0,0,0,7500,7500,7500,0,0,7500,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,900,216,8821,2472,1200,1200,14,58,0,58,1775,1450,400,360,0,30,240,240,180,2147,697,15,66,400,0,216,,,,,,,,,,,,,,,,,,,,,,1,70,200,200,5,,,
2018,010400151,1228.44985423872,F,G1,1,2420.65060955759,4,,G2,G2,G2,G2,G2,6,1,G4,2,F,7,39,G2,1,G1,2,2,G2,G4,G2,G1,G2,Q2,D04,G3,Q4,D07,Q4,Q2,D07,,36440,31791,3791,2741,Q4,1760,,981,0,1050,Q4,28000,,4649,0,0,0,0,4649,4220,429,429,0,1700,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,1700,0,0,0,0,1700,0,0,0,0,0,1700,0,0,0,1700,0,0,0,0,0,0,2410,2300,110,34740,3381,3244,1,11,125,0,125,2465,0,0,0,0,0,0,0,0,916,916,57,339,290,120,110,2,1,1,3,1,1,2,,3,4,1,1,1,2,,,1,30,,,1,,,0,0,,,,
2018,010400181,1190.69002686094,P,G2,1,,3,2282.66632864402,G2,G2,G2,G2,G2,7,1,G4,2,,,49,G3,7,G4,2,1,G1,G4,G1,G1,G1,Q1,D02,G2,Q5,D10,Q5,,D10,Q1,145405,17805,17805,17805,,10001,Q5,2304,5500,0,,0,Q5,127600,127000,99000,28000,0,600,100,500,500,0,2500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,1000,0,0,0,142905,1149,0,0,1103,46,0,46,866,2160,700,300,60,50,450,120,480,2443,283,65,118,0,100,0,,,,,,,,,,,,,,,,,,,,,,1,60,300,400,2,,,
2018,010400311,421.451624697094,F,G1,1,830.467054639583,3,,G2,G2,G2,G2,G2,6,1,G4,2,K,3,36,G2,1,G1,2,2,G2,G2,G2,G1,G2,Q5,D09,G6,Q5,D09,Q5,Q5,D10,,87050,63050,19050,5050,Q5,550,,4380,120,14000,Q5,44000,,24000,21000,0,21000,0,3000,3000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,85050,11135,9933,0,1202,0,0,0,9726,0,0,0,0,0,0,0,0,1409,1409,579,730,100,0,0,1,3,2,3,1,2,2,,3,1,,,1,,,,,,,,,,,0,0,,,,
2018,010500141,3190.76689945795,F,G1,1,6285.48806190469,6,,G2,G2,G2,G2,G2,6,1,G4,2,C,3,55,G4,1,G1,2,2,G2,G2,G4,G1,G2,Q4,D08,G5,Q4,D08,Q4,Q4,D07,,48851,10601,1601,1601,Q4,851,,0,750,0,Q4,9000,,38250,3000,0,3000,0,35250,7250,28000,28000,0,15110,15110,4350,0,0,4350,0,0,0,0,4350,0,0,0,0,0,0,4350,0,0,0,0,0,4350,0,4350,4500,0,0,4500,0,0,0,0,4500,0,0,0,0,0,0,4500,0,0,4500,0,0,6260,0,0,0,720,572,148,33741,8206,8203,0,3,0,0,0,7103,0,0,0,0,0,0,0,0,1103,1103,286,669,0,0,148,1,1,2,3,1,3,3,,1,,2,,5,1,5,2,2,,1,1,2,,,0,0,,,,
2018,010500151,1697.82147101729,F,G1,2,3344.53657179956,2,,G2,G2,G2,G2,G2,3,1,G2,2,,,63,G5,7,G4,3,1,G1,G2,G2,G1,G1,Q2,D04,G2,Q5,D09,Q5,Q2,D09,,82700,10700,10700,10700,Q5,7300,,2400,1000,0,Q5,0,,72000,72000,27000,45000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,75700,2902,600,0,2075,227,0,227,2667,0,0,0,0,0,0,0,0,235,235,79,156,0,0,0,1,1,2,3,2,,,5,2,,,,2,,,,,,,,,,,0,0,,,,
2018,010500161,1666.32341419356,F,G1,1,3282.48858572689,2,,G1,G2,G2,G2,G1,6,3,G3,2,,,83,G5,7,G4,2,1,G1,G2,G1,G1,G1,Q1,D01,G1,Q2,D04,Q3,Q1,D05,,18080,680,680,680,Q2,680,,0,0,0,Q3,0,,17400,17000,17000,0,0,400,400,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17980,799,0,0,197,562,40,602,743,0,0,0,0,0,0,0,0,56,56,56,0,0,0,0,1,1,2,4,2,,,4,2,,,,2,,,,,,,,,,,0,0,,,,
