"조사연도","MD제공용_가구고유번호","가중값","조사부문코드","수도권여부","가구주_성별코드","","가구원수","","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","과거기준입주형태통합코드","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","소득5분위코드(금융부문)(보완)","순자산10분위코드","소득5분위코드(복지부문)(보완)","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","","자산_금융자산_현거주지전월세보증금","","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","금융자산투자주목적코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2017,010200151,2097.42880348713,P,G1,2,,3,4286.39368139821,G2,G2,G2,G2,G2,6,1,G4,2,P,3,54,G4,1,G1,2,1,G1,G4,G2,G1,G1,Q5,D10,G6,Q5,D10,Q5,,D10,Q5,128506,70406,70406,65406,,49674,Q5,12732,3000,5000,,0,Q5,58100,56000,56000,0,0,2100,2100,0,0,0,9000,9000,9000,9000,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,968,293,119506,13718,11147,2500,71,0,0,0,11492,5484,600,480,0,72,360,432,3540,7710,2226,730,783,0,420,293,,,,,,,,,,,,,,,,,,,,,,1,60,300,500,2,0,,
2017,010200161,1361.7687465286,P,G1,1,,5,2745.93037666517,G2,G2,G2,G2,G2,5,1,G4,2,I,4,47,G3,1,G1,2,1,G1,G2,G2,G1,G1,Q5,D10,G6,Q5,D09,Q5,,D09,Q5,82648,15548,15548,4648,,3500,Q5,1148,0,10900,,0,Q5,67100,58600,43600,15000,0,8500,500,8000,4000,4000,34500,34500,23500,23500,0,0,0,0,0,0,23500,0,0,0,0,0,0,0,0,0,23500,0,0,0,23500,0,11000,0,0,0,2000,9000,0,0,10000,0,0,1000,0,0,0,0,0,0,9000,2000,0,0,0,0,0,2786,1500,1286,48148,12993,2160,9600,683,550,0,550,10923,3960,1200,300,1440,60,240,240,480,6030,2070,143,641,0,0,1286,,,,,,,,,,,,,,,,,,,,,,1,65,200,300,4,0,,
2017,010200191,1211.94160119632,P,G1,2,,1,2476.77480778118,G1,G2,G2,G2,G2,1,,G1,1,O,9,81,G5,2,G2,3,2,G2,G1,G1,G2,G2,Q1,D01,G1,Q1,D02,Q2,,D03,Q1,5005,5005,5,5,,5,Q1,0,0,0,,5000,Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,700,182,0,34,244,240,484,699,388,240,100,0,10,15,13,10,389,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,90,100,100,4,0,,
2017,010200211,838.632385955604,P,G2,1,,4,1687.57964232128,G2,G2,G2,G2,G2,5,1,G4,2,G,5,58,G4,4,G3,2,1,G1,G2,G2,G1,G1,Q5,D10,G6,Q5,D10,Q5,,D10,Q5,261516,16516,16516,11516,,4380,Q5,7136,0,5000,,0,Q5,245000,235000,25000,210000,0,10000,0,10000,5000,5000,60000,40000,40000,0,40000,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,40000,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1400,0,1400,201516,14651,2400,3600,8651,0,0,0,12100,3130,1200,180,120,900,50,360,320,5681,2551,489,582,0,80,1400,,,,,,,,,,,,,,,,,,,,,,1,70,150,200,2,0,,
2017,010200231,1253.64178778355,P,G2,2,,2,2522.70290923247,G2,G2,G2,G2,G2,3,1,G2,2,,,70,G5,7,G4,3,4,G3,G1,G1,G2,G3,Q2,D03,G2,Q1,D01,Q1,,D01,Q2,216,216,216,216,,61,Q1,155,0,0,,0,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,2499,1869,0,46,584,0,584,2465,1251,730,170,0,10,140,68,133,1285,34,8,21,0,5,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,64,5,1
2017,010200251,1065.41141501032,P,G2,1,,1,2143.92699921716,G1,G2,G2,G2,G2,3,1,G2,1,I,9,66,G5,2,G2,3,5,G4,G2,G2,G2,G4,Q2,D04,G2,Q1,D02,Q2,,D03,Q2,4232,632,632,632,,200,Q1,432,0,0,,0,Q2,3600,3500,0,3500,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4232,2752,2500,0,8,244,0,244,2620,2040,720,360,0,50,360,120,430,2172,132,32,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,1,70,150,200,4,0,,
2017,010200261,1091.17746751083,P,G2,1,,2,2195.77601720291,G1,G2,G2,G2,G1,4,1,G3,2,,,78,G5,7,G4,2,5,G4,G2,G1,G2,G4,Q1,D01,G1,Q1,D01,Q1,,D01,Q1,20,20,20,20,,20,Q1,0,0,0,,0,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,851,360,0,1,440,50,490,850,456,180,120,0,84,12,30,30,457,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,80,60,150,5,0,,
2017,010200311,1529.66541299203,P,G1,2,,1,3069.47376555252,G1,G2,G2,G2,G2,1,,G1,1,,,72,G5,7,G4,3,1,G1,G3,G1,G2,G1,Q2,D04,G2,Q3,D05,Q3,,D05,Q2,17510,10,10,10,,10,Q3,0,0,0,,0,Q3,17500,17500,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17510,2725,776,0,253,496,1200,1696,2673,1660,100,100,0,1200,20,20,220,1712,52,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,72,5,1
2017,010200371,2108.89428616859,P,G1,1,,4,4252.46716546254,G2,G2,G2,G2,G2,5,1,G4,2,G,7,54,G4,3,G3,2,1,G1,G2,G2,G1,G1,Q5,D10,G6,Q4,D08,Q4,,D08,Q5,48622,11072,11072,10572,,1120,Q4,9452,0,500,,0,Q4,37550,35500,23000,12500,0,2050,1050,1000,1000,0,6150,6150,4000,0,0,0,0,4000,0,0,4000,0,0,0,0,0,0,0,0,0,4000,0,0,0,4000,0,2000,0,0,0,0,2000,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,150,0,0,0,511,250,261,42472,15626,2171,13312,143,0,0,0,13931,6064,1200,360,2000,30,1000,324,1150,7759,1695,304,890,0,240,261,,,,,,,,,,,,,,,,,,,,,,1,65,300,500,3,0,,
2017,010201181,1820.50376845822,P,G1,2,,1,3720.45803753016,G1,G2,G2,G2,G2,3,1,G2,1,,,68,G5,7,G4,3,1,G1,G2,G3,G2,G1,Q1,D01,G1,Q2,D04,Q3,,D05,Q1,14194,1154,1154,1154,,440,Q2,714,0,0,,0,Q3,13040,13000,13000,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14194,993,0,0,83,550,360,910,980,890,240,200,0,200,40,60,150,903,13,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,64,4,4
