"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2020,010000112,1531.60234409766,G1,1,3,G2,G2,G2,G2,G2,6,1,G4,2,F,3,34,G2,1,G1,2,2,G2,G2,G2,G1,Q4,D07,G4,Q5,D10,Q5,D09,112000,49000,10000,10000,6800,3200,0,0,39000,63000,60000,0,60000,0,3000,3000,0,0,0,54500,16000,10000,0,0,10000,0,0,0,0,10000,0,0,0,0,10000,0,0,0,0,0,0,0,10000,0,10000,6000,0,0,0,0,6000,0,0,6000,0,0,0,0,6000,0,0,0,0,6000,0,0,0,0,0,38500,560,0,560,57500,6593,6366,0,77,150,0,150,4599,2340,900,180,0,30,400,110,720,4334,1994,491,893,50,0,560,2,1,2,3,1,6,7,,1,,2,,2,,,1,30,,,1,1,70,400,500,3,,,
2020,010000132,1314.11992628738,G1,2,2,G2,G2,G2,G2,G2,8,1,G4,2,J,2,45,G3,1,G1,2,3,G3,G2,G2,G1,Q5,D10,G6,Q4,D07,Q3,D06,42500,25500,22500,17500,17500,0,0,5000,3000,17000,17000,0,17000,0,0,0,0,0,0,17500,11500,9500,0,0,0,0,9500,0,0,9500,0,0,0,0,0,0,9500,0,0,0,9500,0,0,9500,0,2000,0,0,0,0,2000,0,0,0,2000,0,0,0,0,0,2000,0,0,2000,0,0,0,0,0,6000,5300,4800,500,25000,17720,14070,3650,0,0,0,0,15257,6580,1600,1800,500,100,240,480,1860,9043,2463,1413,550,0,0,500,3,1,3,1,1,1,2,,1,,1,1,1,2,2,2,,1,4,1,1,70,500,700,3,,,
2020,010000162,1098.8060502605,G1,2,1,G1,G2,G2,G2,G2,2,1,G1,1,T,4,73,G5,2,G2,3,2,G2,G1,G1,G2,Q1,D01,G1,Q1,D02,Q2,D03,5712,5712,712,712,520,192,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5712,908,360,0,12,536,0,536,725,570,240,60,0,120,10,20,120,753,183,3,0,0,180,0,1,1,2,4,2,,,4,2,,,,,,,,,,,,1,75,100,150,3,,,
2020,010000182,1124.02787068698,G1,1,2,G2,G2,G2,G2,G2,4,1,G3,2,C,5,58,G4,1,G1,2,2,G2,G2,G3,G2,Q2,D04,G2,Q2,D04,Q3,D05,14870,14800,4800,4800,4800,0,0,0,10000,70,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,14870,2748,2525,0,155,68,0,68,2431,2200,1340,360,0,240,60,60,140,2517,317,57,160,100,0,0,2,1,2,3,1,1,7,,2,,,,,,,,,,,,1,70,200,250,4,,,
2020,010000192,1098.8060502605,G1,2,1,G2,G2,G2,G2,G2,4,1,G3,1,R,2,27,G1,2,G2,1,3,G3,G1,G1,G2,Q1,D01,G2,Q1,D01,Q1,D01,814,814,314,314,314,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,1015,197,668,0,150,0,150,893,1730,420,600,0,20,120,120,450,1852,122,62,0,60,0,0,1,2,2,4,2,,,4,2,,,,,,,,,,,,1,65,250,300,3,,,
2020,010000212,826.248870270493,G2,1,2,G1,G2,G2,G2,G2,4,4,G2,2,,,71,G5,7,G4,2,1,G1,G1,G1,G1,Q3,D05,G3,Q2,D04,Q3,D05,17524,11524,11524,11524,11200,324,0,0,0,6000,6000,6000,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,17224,4546,2475,0,889,1182,0,1182,4420,1363,720,138,0,44,36,55,370,1489,126,46,80,0,0,0,1,1,2,2,2,,,2,2,,,,,,,,,,,,2,,,,,65,2,1
2020,010000222,807.708848997883,G2,1,1,G2,G2,G2,G2,G2,4,1,G3,1,C,9,52,G4,1,G1,1,1,G1,G2,G3,G1,Q2,D04,G2,Q2,D03,Q1,D01,7930,2930,2930,2930,1000,930,1000,0,0,5000,5000,5000,0,0,0,0,0,0,0,8000,8000,3000,0,0,0,3000,0,0,0,0,0,3000,0,0,3000,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,850,800,50,-70,2808,2621,0,112,75,0,75,2443,894,360,60,0,25,96,72,281,1259,365,48,227,40,0,50,1,7,1,2,2,,,3,1,,2,,2,,,2,,1,1,1,1,67,100,200,3,,,
2020,010000232,1154.3191914077,G2,2,3,G2,G2,G2,G2,G2,6,1,G4,2,Q,2,52,G4,1,G1,2,1,G1,G2,G2,G1,Q4,D07,G4,Q3,D06,Q2,D04,27506,2056,2056,2056,748,1308,0,0,0,25450,25000,25000,0,0,450,450,0,0,0,18000,18000,18000,0,0,0,0,18000,0,0,0,0,18000,0,0,0,0,18000,0,0,18000,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,680,9506,6428,6428,0,0,0,0,0,5071,2865,960,247,0,56,252,210,1140,4222,1357,70,489,45,73,680,3,1,3,2,2,,,5,2,,2,,2,,,2,,1,2,1,1,70,200,300,4,,,
2020,010000252,962.990272957472,G2,1,3,G2,G2,G2,G2,G2,4,1,G3,2,N,7,62,G5,2,G2,2,3,G3,G2,G1,G1,Q4,D07,G5,Q1,D02,Q1,D02,2160,1630,130,130,130,0,0,0,1500,530,0,0,0,0,530,530,0,0,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,1080,720,360,1360,7042,6258,496,1,167,120,287,5948,2089,480,504,0,700,120,180,105,3183,1094,81,653,0,0,360,2,1,4,4,1,1,1,,1,,1,1,2,,,3,,1,2,1,1,66,50,450,4,,,
2020,010000262,990.409721276881,G2,2,2,G1,G2,G2,G2,G2,4,1,G3,2,,,66,G5,7,G4,2,1,G1,G3,G2,G2,Q3,D05,G3,Q4,D08,Q5,D09,57615,1570,1570,1570,1240,0,330,0,0,56045,56000,38000,18000,0,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57615,3805,1376,0,51,1298,1080,2378,3236,1444,450,370,0,80,140,96,308,2013,569,62,56,145,306,0,1,3,2,1,2,,,3,2,,,,,,,,,,,,2,,,,,65,4,2
