"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","노인가구여부","조손가구여부","한부모가구여부","다문화가구여부(2012년~)","장애인가구여부(2012년~)","가구주_교육정도_학력코드","가구주_교육정도_수학구분코드","가구주_교육정도_통합코드","가구주_동거여부","가구주_산업대분류코드","가구주_직업대분류코드","가구주_만연령","가구주연령_10세단위코드","가구주_종사상지위코드","가구주_종사상지위(보도용)","가구주_혼인상태코드","입주형태코드","입주형태통합코드","전용면적규모코드","주택종류통합코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","소득계층구간코드(보도용)(보완)","자산총액5분위코드","자산총액10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축금액","자산_금융자산_저축_적립예치식저축금액","자산_금융자산_저축_적립예치식저축_수시적립예치식저축금액","자산_금융자산_저축_적립예치식저축_저축성보장성보험금액","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_저축_기타저축금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","자산_실물자산_부동산_계약금중도금납입금액","자산_실물자산_기타실물자산","자산_실물자산_기타실물자산_자동차금액","자산_실물자산_기타실물자산_기타금액","자산_실물자산_기타실물자산_기타_자동차이외기타실물자산","자산_실물자산_기타실물자산_기타_권리금","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_담보대출_대출용도_전월세보증금마련금액","부채_금융부채_담보대출_대출용도_부채상환금액","부채_금융부채_담보대출_대출용도_사업자금마련금액","부채_금융부채_담보대출_대출용도_생활비마련금액","부채_금융부채_담보대출_대출용도_기타용도금액","부채_금융부채_담보대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_담보대출_대출기관_저축은행금액","부채_금융부채_담보대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_담보대출_대출기관_보험회사금액","부채_금융부채_담보대출_대출기관_기타기관금액","부채_금융부채_담보대출_상환방법_만기일시금액","부채_금융부채_담보대출_상환방법_원금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할상환금액","부채_금융부채_담보대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_담보대출_상환방법_기타상환방법금액","부채_금융부채_담보대출_담보형태_거주주택금액","부채_금융부채_담보대출_담보형태_거주주택이외부동산금액","부채_금융부채_담보대출_담보형태_예적금보험펀드채권금액","부채_금융부채_담보대출_담보형태_기타금액","부채_금융부채_담보대출_부동산담보대출금액","부채_금융부채_담보대출_부동산이외담보대출금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출용도_거주주택구입금액","부채_금융부채_신용대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출_대출용도_전월세보증금마련금액","부채_금융부채_신용대출_대출용도_부채상환금액","부채_금융부채_신용대출_대출용도_사업자금마련금액","부채_금융부채_신용대출_대출용도_생활비마련금액","부채_금융부채_신용대출_대출용도_기타용도금액","부채_금융부채_신용대출_대출기관_은행금액(2010년은 농수협 중앙회 제외)","부채_금융부채_신용대출_대출기관_저축은행금액","부채_금융부채_신용대출_대출기관_비은행금융기관금액(2010년은 농수협중앙회 포함)","부채_금융부채_신용대출_대출기관_보험회사금액","부채_금융부채_신용대출_대출기관_기타기관금액","부채_금융부채_신용대출_상환방법_만기일시금액","부채_금융부채_신용대출_상환방법_원금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할상환금액","부채_금융부채_신용대출_상환방법_원리금분할일부만기상환금액","부채_금융부채_신용대출_상환방법_기타상환방법금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","부채_금융부채_외상할부미상환금액","부채_금융부채_계탄후불입금액","부채_금융부채_개인직장빌린금액(2017년~)","부채_임대보증금","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","경상소득_근로소득(보완)","경상소득_사업소득(보완)","경상소득_재산소득(보완)","경상소득_공적이전소득(보완)","경상소득_사적이전소득(조사)","이전소득(보완)[공적이전소득(보완)+사적이전소득(조사)]","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_소비지출_의료비","지출_소비지출_교통비","지출_소비지출_통신비","지출_소비지출_기타소비지출비","지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_가구간이전지출(조사)","지출_비소비지출_비영리단체이전지출(조사)","지출_비소비지출_연간지급이자(조사)","여유자금운용계획코드","금융자산투자운용방법코드","금융자산투자고려사항코드","거주지주택가격전망코드","여유자금부동산투자여부","부동산투자주목적코드","투자선호부동산코드","부동산투자기피사유코드","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","부채상환방법코드","원리금연체여부","원리금연체사유코드","30일이상원리금연체여부","원리금상환_생계부담정도코드","원리금상환_생계부담_소득대비상환액비중","원리금상환_가계지출감소여부","원리금상환_가계지출감소항목코드","부채상환가능시기코드","가구주_은퇴여부","가구주_미은퇴_은퇴연령","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_미은퇴_노후준비상황코드","가구주_은퇴_은퇴연령","가구주_은퇴_적정생활비충당여부","가구주은퇴_생활비재원마련코드(2014년~)"
2020,010000272,1310.94291195095,G2,1,4,G2,G2,G2,G2,G2,5,1,G4,2,O,3,56,G4,1,G1,2,1,G1,G2,G2,G2,Q5,D09,G6,Q3,D06,Q4,D07,32425,5875,5875,5875,1385,4490,0,0,0,26550,24000,24000,0,0,2550,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32425,11162,10589,445,128,0,0,0,8111,4360,1440,360,200,100,600,380,1280,7411,3051,1450,371,1200,30,0,1,1,2,2,2,,,1,2,,,,,,,,,,,,1,60,300,400,3,,,
2020,010000282,1685.92806536187,G2,1,5,G2,G2,G2,G2,G2,2,1,G1,2,C,8,59,G4,4,G3,2,1,G1,G3,G2,G1,Q4,D07,G4,Q5,D10,Q4,D07,104860,360,360,360,360,0,0,0,0,104500,102000,22000,80000,0,2500,500,2000,2000,0,74700,74700,72000,0,0,0,0,72000,0,0,0,72000,0,0,0,72000,0,0,0,0,0,72000,0,0,72000,0,900,0,0,0,0,0,900,0,900,0,0,0,0,0,0,0,0,900,0,900,0,600,1200,0,0,562,0,562,30160,5977,2509,2209,1259,0,0,0,4153,2041,960,216,0,10,150,300,405,3865,1824,302,960,0,0,562,3,2,2,2,2,,,2,2,,3,,2,,,3,,1,4,3,1,80,200,250,3,,,
2020,010000312,2761.54940925041,G1,1,5,G2,G2,G2,G2,G2,6,1,G4,2,J,2,50,G4,1,G1,2,1,G1,G2,G2,G1,Q4,D08,G5,Q5,D09,Q5,D09,82680,12680,12680,12680,2270,950,9460,0,0,70000,69000,49000,20000,0,1000,1000,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,82670,8096,7512,0,584,0,0,0,7347,4340,1200,360,500,600,600,360,720,5089,749,84,553,100,12,0,1,2,3,3,2,,,1,2,,,,,,,,,,,,1,55,300,300,4,,,
2020,010000322,1648.04089415057,G1,1,3,G2,G2,G2,G2,G2,5,1,G4,2,P,3,35,G2,1,G1,1,1,G1,G1,G3,G1,Q3,D06,G4,Q1,D02,Q1,D02,5366,366,366,366,150,216,0,0,0,5000,5000,5000,0,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,400,0,0,400,0,0,0,0,0,400,0,0,400,0,1100,0,0,0,0,783,596,187,3866,5461,5333,0,27,101,0,101,4694,2740,960,240,0,780,240,240,280,3507,767,48,382,150,0,187,3,2,2,4,1,1,2,,1,,1,1,2,,,2,,1,1,1,1,60,200,400,5,,,
2020,010000332,1414.0245910995,G1,2,2,G2,G2,G2,G2,G2,4,1,G3,2,C,8,27,G1,1,G1,2,2,G2,G3,G2,G1,Q4,D08,G5,Q3,D05,Q2,D03,21035,20135,3635,3635,600,2685,350,0,16500,900,0,0,0,0,900,900,0,0,0,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,13000,0,0,0,0,13000,0,0,0,0,13000,0,0,0,0,13000,0,0,0,0,0,0,32,0,32,8035,7963,7932,15,16,0,0,0,6873,2280,900,300,0,50,300,180,550,3370,1090,372,636,50,0,32,2,1,2,3,1,1,2,,2,,2,,2,,,1,20,,,1,1,70,100,300,4,,,
2020,010000342,1382.29559643183,G1,1,1,G2,G2,G2,G2,G2,7,1,G4,1,C,3,28,G1,1,G1,1,2,G2,G1,G3,G1,Q3,D06,G4,Q3,D05,Q3,D05,20050,20050,16050,16050,16050,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,200,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1800,80,19850,5603,5601,0,2,0,0,0,4782,1800,750,200,0,50,50,180,570,2621,821,285,436,20,0,80,2,2,2,2,1,1,2,,1,,1,1,2,,,1,5,,,1,1,70,100,300,4,,,
2020,010000352,1585.88844322195,G1,2,1,G1,G2,G2,G2,G2,4,1,G3,1,,,65,G5,7,G4,3,1,G1,G2,G2,G2,Q2,D04,G2,Q3,D05,Q3,D06,25700,3700,3700,3700,100,3600,0,0,0,22000,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25700,2947,2615,0,73,259,0,259,2721,1260,600,180,0,20,60,60,340,1486,226,28,98,100,0,0,1,1,2,2,2,,,5,2,,,,,,,,,,,,1,70,150,200,3,,,
2020,010000362,1622.29067591978,G1,1,2,G1,G2,G2,G2,G2,6,1,G4,2,H,3,82,G5,3,G3,2,5,G4,G1,G2,G2,Q5,D10,G6,Q1,D02,Q2,D03,4900,3400,3400,1900,1900,0,0,1500,0,1500,0,0,0,0,1500,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,13431,0,12000,355,356,720,1076,12680,1680,500,0,0,700,120,120,240,2431,751,620,131,0,0,0,5,1,2,2,2,,,5,2,,,,,,,,,,,,1,90,200,300,3,,,
2020,010000372,2147.3238974061,G1,2,4,G2,G2,G2,G2,G2,4,1,G3,2,I,4,59,G4,1,G1,2,3,G3,G1,G2,G1,Q4,D08,G5,Q2,D04,Q1,D02,14760,1810,810,810,210,600,0,0,1000,12950,12000,0,0,12000,950,950,0,0,0,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,12000,0,0,0,0,0,0,12000,0,0,0,12000,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,2760,8590,8556,32,2,0,0,0,7470,4190,840,900,0,500,600,350,1000,5310,1120,165,775,180,0,0,2,1,2,3,1,1,2,,3,1,3,,2,,,1,40,,,1,1,70,200,300,4,,,
2020,010001102,1098.8060502605,G1,1,1,G2,G2,G2,G2,G2,5,1,G4,1,L,5,35,G2,2,G2,1,2,G2,G1,G1,G2,Q1,D01,G2,Q1,D02,Q2,D03,5252,5252,252,252,252,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5252,1089,710,78,1,0,300,300,1033,588,417,50,0,2,16,60,43,644,56,9,47,0,0,0,2,1,1,4,1,2,2,,2,,,,,,,,,,,,1,70,150,300,5,,,
2020,010600141,1637.2568192962,G1,1,3,G2,G2,G2,G2,G1,4,1,G3,2,,,66,G5,7,G4,2,1,G1,G2,G3,G1,Q2,D03,G2,Q3,D05,Q3,D05,21848,1748,1748,1748,108,1640,0,0,0,20100,20000,20000,0,0,100,100,0,0,0,5200,5200,2700,2700,0,0,0,0,0,0,2700,0,0,0,0,0,0,2700,0,0,2700,0,0,0,2700,0,2500,0,0,0,0,0,2500,0,0,0,0,2500,0,2500,0,0,0,0,2500,0,0,0,0,0,0,470,50,420,16648,2695,1500,0,105,1090,0,1090,1725,2080,1000,100,0,100,130,200,550,3050,970,55,495,0,0,420,1,1,1,2,1,3,7,,2,,2,,2,,,2,,2,,2,2,,,,,66,4,1
2020,010600211,949.280236078902,G2,1,1,G1,G2,G2,G2,G2,2,1,G1,1,C,8,69,G5,2,G2,4,5,G4,G3,G1,G2,Q1,D02,G2,Q1,D01,Q1,D01,90,50,50,50,50,0,0,0,0,40,0,0,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1563,1200,0,1,362,0,362,1562,1418,600,120,0,250,120,108,220,1419,1,1,0,0,0,0,2,2,1,2,1,1,2,,2,,,,,,,,,,,,1,80,200,350,4,,,
2020,010600221,446.176550655591,G2,2,3,G2,G2,G2,G2,G2,5,1,G4,2,R,2,25,G1,1,G1,1,1,G1,G2,G1,G1,Q4,D07,G4,Q2,D03,Q2,D04,11360,1690,1690,1690,1690,0,0,0,0,9670,7500,7500,0,0,2170,2170,0,0,0,1300,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,1500,1500,0,10060,6014,5095,84,9,826,0,826,5611,2160,600,180,0,60,360,240,720,2563,403,64,339,0,0,0,1,1,2,2,2,,,5,1,,3,,2,,,1,30,,,1,1,60,200,250,5,,,
