ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,presch,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6,wave7
15417,2,273.47009327337736,3.3333333333333335,0.0,1.0,2.5,4.0,2.0,3.0,4.0,0.0,1.0,0.0,3.25,1.75,3.6666666666666665,3.4,2.5,0,0,0,0,0
15418,2,267.57360479172144,3.6666666666666665,0.0,1.0,4.8,4.0,5.0,4.0,3.0,0.0,0.0,1.0,4.0,2.0,4.0,3.4,4.0,0,0,0,0,0
15419,2,310.93184602442483,4.333333333333333,0.0,0.0,2.0,2.0,2.0,2.0,3.0,0.3333333333333333,1.0,1.0,3.25,2.0,3.6666666666666665,2.8,4.0,0,0,0,0,0
15420,2,310.93184602442483,3.0,0.0,0.0,10.0,3.0,5.0,3.0,4.0,2.6666666666666665,1.0,1.0,4.0,1.5,3.3333333333333335,2.8,4.0,0,0,0,0,0
15421,2,273.47009327337736,5.0,0.0,1.0,2.5,5.0,5.0,3.0,3.0,1.3333333333333333,1.0,1.0,3.0,2.25,3.6666666666666665,3.0,3.75,0,0,0,0,0
15422,2,273.47009327337736,3.3333333333333335,0.0,1.0,3.6,2.0,2.0,3.0,2.0,2.6666666666666665,1.0,1.0,3.25,2.0,3.0,2.4,3.75,0,0,0,0,0
15424,2,273.47009327337736,4.0,0.0,1.0,6.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,3.5,2.25,2.6666666666666665,3.2,2.5,0,0,0,0,0
15426,2,310.93184602442483,4.333333333333333,0.0,0.0,2.5,2.0,2.0,3.0,3.0,3.1666666666666665,1.0,1.0,3.75,1.75,3.6666666666666665,2.8,3.5,0,0,0,0,0
15427,2,273.47009327337736,4.0,0.0,1.0,8.0,3.0,3.0,3.0,4.0,1.6666666666666665,1.0,1.0,3.0,2.5,3.0,3.0,3.5,0,0,0,0,0
15428,2,310.93184602442483,4.333333333333333,0.0,0.0,10.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.25,3.25,3.3333333333333335,2.4,3.5,0,0,0,0,0
15502,2,318.54000570442935,4.0,0.0,1.0,4.0,4.0,3.0,3.0,4.0,2.333333333333333,1.0,1.0,3.5,1.5,3.3333333333333335,3.0,3.75,0,0,0,0,0
15503,2,325.5596348492587,4.0,0.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.2,4.0,0,0,0,0,0
15505,2,370.1569595528858,4.0,0.0,0.0,1.8,2.0,4.0,2.0,4.0,1.0,1.0,0.0,3.25,3.5,3.6666666666666665,2.8,4.0,0,0,0,0,0
15506,2,325.5596348492587,4.0,0.0,1.0,6.0,4.0,2.0,3.0,3.0,1.6666666666666665,1.0,1.0,3.0,2.75,3.3333333333333335,2.8,3.0,0,0,0,0,0
15507,2,325.5596348492587,3.3333333333333335,0.0,1.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,3.5,2.5,2.3333333333333335,2.6,3.25,0,0,0,0,0
15508,2,370.1569595528858,2.6666666666666665,0.0,0.0,8.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,4.0,1.75,3.3333333333333335,3.0,3.75,0,0,0,0,0
15509,2,325.5596348492587,4.0,0.0,1.0,2.5,2.0,2.0,2.0,3.0,4.833333333333333,1.0,0.0,3.5,2.25,2.6666666666666665,2.6,3.5,0,0,0,0,0
15510,2,370.1569595528858,4.0,0.0,0.0,2.7,2.0,2.0,3.0,3.0,1.111111111111111,1.0,0.0,3.5,2.0,3.6666666666666665,3.0,4.0,0,0,0,0,0
15511,2,325.5596348492587,3.3333333333333335,0.0,1.0,5.0,2.0,2.0,3.0,4.0,1.3333333333333333,1.0,0.0,2.0,2.75,3.6666666666666665,2.8,3.0,0,0,0,0,0
15512,2,370.1569595528858,4.666666666666667,0.0,0.0,6.0,4.0,5.0,3.0,4.0,0.5555555555555556,1.0,1.0,4.0,2.25,3.3333333333333335,2.8,3.0,0,0,0,0,0
15514,2,325.5596348492587,4.0,0.0,1.0,7.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,3.25,1.75,3.3333333333333335,3.4,3.75,0,0,0,0,0
15515,2,325.5596348492587,2.3333333333333335,0.0,1.0,4.0,4.0,3.0,3.0,3.0,3.333333333333333,1.0,0.0,1.75,2.5,1.3333333333333333,2.0,2.0,0,0,0,0,0
15516,2,370.1569595528858,3.6666666666666665,0.0,0.0,3.9,2.0,2.0,2.0,3.0,0.0,1.0,1.0,3.5,3.25,3.6666666666666665,3.2,4.0,0,0,0,0,0
15517,2,325.5596348492587,4.666666666666667,0.0,1.0,8.0,2.0,2.0,3.0,4.0,1.3333333333333333,1.0,1.0,4.0,2.75,4.0,3.4,4.0,0,0,0,0,0
15519,2,325.5596348492587,4.666666666666667,0.0,1.0,10.0,3.0,3.0,4.0,3.0,1.3333333333333333,1.0,1.0,4.0,2.0,3.6666666666666665,3.4,4.0,0,0,0,0,0
15520,2,325.5596348492587,4.0,0.0,1.0,2.5,2.0,2.0,3.0,3.0,0.6666666666666666,1.0,1.0,3.75,4.0,1.6666666666666667,2.8,3.75,0,0,0,0,0
15521,2,325.5596348492587,3.0,0.0,1.0,5.0,4.0,5.0,4.0,3.0,0.3333333333333333,1.0,0.0,3.0,1.75,3.3333333333333335,2.8,3.5,0,0,0,0,0
15522,2,370.1569595528858,4.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,1.6666666666666665,1.0,1.0,3.5,1.75,4.0,3.2,3.75,0,0,0,0,0
15523,2,325.5596348492587,3.3333333333333335,0.0,1.0,2.8,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,3.0,2.4,3.5,0,0,0,0,0
15601,2,253.21304932720156,4.666666666666667,0.0,1.0,4.0,4.0,3.0,3.0,4.0,0.6666666666666666,1.0,0.0,4.0,1.75,4.0,3.2,4.0,0,0,0,0,0
15602,2,287.8998574300223,5.0,0.0,0.0,5.0,5.0,4.0,3.0,4.0,0.6666666666666666,1.0,0.0,4.0,1.75,4.0,3.2,4.0,0,0,0,0,0
15604,2,287.8998574300223,4.666666666666667,0.0,0.0,10.0,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,1.0,3.5,2.75,2.6666666666666665,3.2,3.25,0,0,0,0,0
15605,2,287.8998574300223,4.333333333333333,0.0,0.0,6.0,4.0,4.0,3.0,4.0,2.3333333333333335,1.0,1.0,4.0,1.5,3.6666666666666665,2.8,3.25,0,0,0,0,0
15606,2,287.8998574300223,5.0,0.0,0.0,11.0,4.0,4.0,3.0,4.0,3.333333333333333,1.0,1.0,4.0,1.75,4.0,3.2,4.0,0,0,0,0,0
15608,2,287.8998574300223,4.333333333333333,0.0,0.0,4.5,4.0,3.0,2.0,3.0,2.0,1.0,1.0,3.5,2.25,3.3333333333333335,2.8,3.75,0,0,0,0,0
15610,2,287.8998574300223,4.333333333333333,0.0,0.0,4.8,4.0,3.0,3.0,3.0,2.6666666666666665,1.0,0.0,4.0,2.5,3.6666666666666665,3.2,3.75,0,0,0,0,0
15614,2,253.21304932720156,3.6666666666666665,0.0,1.0,5.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,1.0,4.0,2.5,3.0,3.0,4.0,0,0,0,0,0
15617,2,287.8998574300223,4.666666666666667,0.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,3.75,2.75,3.6666666666666665,3.2,3.5,0,0,0,0,0
15618,2,253.21304932720156,4.333333333333333,0.0,1.0,9.0,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,1.0,4.0,2.0,3.3333333333333335,2.8,4.0,0,0,0,0,0
15619,2,287.8998574300223,4.0,0.0,0.0,8.0,4.0,3.0,3.0,3.0,1.3333333333333333,1.0,1.0,3.0,2.25,3.3333333333333335,2.6,3.25,0,0,0,0,0
15620,2,287.8998574300223,4.333333333333333,0.0,0.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,0.0,4.0,1.75,3.3333333333333335,3.0,3.25,0,0,0,0,0
15621,2,253.21304932720156,4.666666666666667,0.0,1.0,8.0,4.0,4.0,3.0,3.0,1.3333333333333333,1.0,1.0,4.0,2.25,4.0,3.4,4.0,0,0,0,0,0
15622,2,253.21304932720156,4.0,0.0,1.0,6.0,2.0,2.0,3.0,3.0,1.6666666666666665,1.0,0.0,3.25,1.75,3.0,2.2,3.5,0,0,0,0,0
15624,2,287.8998574300223,4.666666666666667,0.0,0.0,8.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,3.75,2.0,3.6666666666666665,3.0,3.75,0,0,0,0,0
15625,2,253.21304932720156,4.333333333333333,0.0,1.0,10.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.5,2.75,2.6666666666666665,3.0,3.5,0,0,0,0,0
15626,2,287.8998574300223,2.3333333333333335,0.0,0.0,6.0,4.0,4.0,3.0,3.0,0.0,1.0,1.0,3.75,1.5,2.6666666666666665,2.4,2.75,0,0,0,0,0
15627,2,253.21304932720156,3.0,0.0,1.0,13.0,4.0,4.0,3.0,3.0,2.333333333333333,1.0,1.0,3.25,2.75,3.0,2.6,3.5,0,0,0,0,0
15628,2,287.8998574300223,3.0,0.0,0.0,7.0,4.0,4.0,3.0,3.0,3.333333333333333,1.0,1.0,2.75,2.75,4.0,1.8,1.75,0,0,0,0,0
15629,2,253.21304932720156,4.0,0.0,1.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,3.25,1.5,3.3333333333333335,3.2,3.25,0,0,0,0,0
15630,2,287.8998574300223,3.3333333333333335,0.0,0.0,7.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.75,1.75,3.3333333333333335,2.8,4.0,0,0,0,0,0
15631,2,253.21304932720156,3.3333333333333335,0.0,1.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,0.0,3.75,1.75,3.3333333333333335,2.8,4.0,0,0,0,0,0
15632,2,287.8998574300223,4.333333333333333,0.0,0.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,2.25,3.3333333333333335,3.0,3.75,0,0,0,0,0
15633,2,253.21304932720156,3.6666666666666665,0.0,1.0,6.5,4.0,4.0,3.0,4.0,1.3333333333333333,1.0,1.0,4.0,1.75,3.0,2.8,3.25,0,0,0,0,0
15635,2,253.21304932720156,3.3333333333333335,0.0,1.0,8.0,5.0,4.0,3.0,3.0,1.3333333333333333,1.0,0.0,3.0,1.75,3.3333333333333335,3.2,3.75,0,0,0,0,0
15701,2,388.6648075305308,3.3333333333333335,0.0,0.0,7.0,4.0,3.0,3.0,3.0,3.333333333333333,1.0,1.0,3.25,2.0,3.0,2.6,3.0,0,0,0,0,0
15702,2,388.6648075305308,5.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.6666666666666665,1.0,1.0,3.0,1.75,3.3333333333333335,2.6,3.5,0,0,0,0,0
15704,2,341.8376165917217,4.333333333333333,0.0,1.0,3.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,3.25,2.0,2.6666666666666665,3.0,3.25,0,0,0,0,0
15705,2,341.8376165917217,4.0,1.0,1.0,6.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,2.5,2.0,3.0,1.8,3.0,0,0,0,0,0
15706,2,388.6648075305308,4.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.5555555555555556,1.0,1.0,4.0,2.0,4.0,3.4,4.0,0,0,0,0,0
15708,2,388.6648075305308,3.0,0.0,0.0,5.0,3.0,2.0,3.0,4.0,1.3333333333333333,1.0,1.0,2.25,2.5,3.0,3.0,2.75,0,0,0,0,0
15709,2,388.6648075305308,4.666666666666667,0.0,0.0,1.5,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,1.0,4.0,2.0,4.0,3.0,4.0,0,0,0,0,0
15710,2,341.8376165917217,3.3333333333333335,0.0,1.0,8.0,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,1.0,3.25,1.75,3.0,2.2,3.5,0,0,0,0,0
15711,2,341.8376165917217,4.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,0.0,3.75,2.25,3.3333333333333335,2.8,3.75,0,0,0,0,0
15712,2,341.8376165917217,4.333333333333333,0.0,1.0,3.6,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.25,4.0,2.4,4.0,0,0,0,0,0
